"user_id_str","id_str","followers_count","lang","location","PLSC508","lat","lng","country","state"
353063439,449247904759169024,2760,"en","CA",17,NA,NA,NA,NA
16910252,455469351479820288,17734,"en","Washington DC",128,NA,NA,NA,NA
96894306,453517206383771648,11378,"en","Outside as much as possible",22,NA,NA,NA,NA
24261049,453992902126215168,2120,"en","Maryland",43,NA,NA,NA,NA
451043636,430420807915798528,757,"en","Chicago",2,NA,NA,NA,NA
501276670,430420357716385792,182,"en","Pittsburgh PA",2,NA,NA,NA,NA
1543535868,434491211236528128,720,"en","Wonderland ",3,NA,NA,NA,NA
15278752,453330641078059008,2218,"en","Ohio USA",126,NA,NA,NA,NA
341564179,430416640854220800,561,"en","Philadelphia",2,NA,NA,NA,NA
544564185,451445722949230592,820,"en","Colorado USA",3,NA,NA,NA,NA
162708536,430431200809717760,555,"en","Portland OR",6,NA,NA,NA,NA
109071031,453253267431391232,263663,"en","Maryland USA",5,NA,NA,NA,NA
1697688301,430431529479585792,298,"en","Arlington VA",2,NA,NA,NA,NA
1062993338,430578840872964096,43,"en","Modena",3,NA,NA,NA,NA
286322844,455450944785092608,2768,"en","Cherry Hill NJ",17,NA,NA,NA,NA
91734908,456182673761787904,45104,"en","LOUISIANA",2228,NA,NA,NA,NA
334296203,433001294098620416,193,"en","",4,NA,NA,NA,NA
30741989,453987159133798400,4798,"en","Fort Lee NJ",66,NA,NA,NA,NA
1458247532,443877006057693184,2412,"en","Parallel to Woodhaven Blvd",12,NA,NA,NA,NA
2206963340,454263768584032256,1992,"en","",30,NA,NA,NA,NA
856732580,452443836749340672,1733,"en","",3,NA,NA,NA,NA
1150002710,452479687848370176,325,"en","Denver Colorado",10,NA,NA,NA,NA
113543869,449573985387167744,227,"en","Minneapolis MN",11,NA,NA,NA,NA
22926853,449595164344868864,1622,"en","",7,NA,NA,NA,NA
1135362566,455877795999019008,1251,"en","",79,NA,NA,NA,NA
550097439,430416240252051456,2810,"en","Bradford | London | Manchester",2,NA,NA,NA,NA
497239737,449320599023005696,1292,"en","",5,NA,NA,NA,NA
76355393,453171645407305728,3434,"en","Toronto",4,NA,NA,NA,NA
72010438,430417520718520320,256,"en","Portsmouth Hants UK",2,NA,NA,NA,NA
594863522,455875733718843392,7160,"en","Minnesota",1077,NA,NA,NA,NA
2196759704,430417605808365568,1048,"en","GTA",2,NA,NA,NA,NA
112537940,430430870470934528,4480,"en","Saratoga Springs NY",2,NA,NA,NA,NA
77943803,430416110341480448,46786,"en","",2,NA,NA,NA,NA
904587835,444675124235886592,3346,"en","Buffalo NY",5,NA,NA,NA,NA
78778106,441299168565272576,3065,"en","Michigan",4,NA,NA,NA,NA
15249499,447515866167775232,7370,"en","United States",10,NA,NA,NA,NA
387162020,453286603964698624,3285,"en","",7,NA,NA,NA,NA
1102161270,453280152626421760,499,"en","Maryland USA",283,NA,NA,NA,NA
14370819,430418948266283008,15112,"en","Los Angeles",2,NA,NA,NA,NA
62364413,430431557816700928,3123,"en","Ruskin FL",2,NA,NA,NA,NA
1595668502,441304552583614464,687,"en","Earth",3,NA,NA,NA,NA
543675296,430431432612118528,194,"en","United Kingdom",2,NA,NA,NA,NA
26031465,436203251386421248,143,"en","Baton Rouge LA",4,NA,NA,NA,NA
44618911,449914168037363712,3921,"en","",5,NA,NA,NA,NA
385696419,455026408658833408,370,"en","Sarasota FL",75,NA,NA,NA,NA
2179089168,452100356261310464,5286,"en","New York USA",17,NA,NA,NA,NA
18552000,451438518498508800,9006,"en","Pittsburgh PA",5,NA,NA,NA,NA
