labels,type,board
Muhammadu Buhari,President,1
Emmanuel Ibe Kachikwu,NNPC,1
Maikanti Baru,NNPC,1
Dennis Nnamdi Ajulu,NNPC,1
Babatunde Victor Adeniran,NNPC,1
Isiaka Abdulrazaq,NNPC,1
Chidi Momah,NNPC,1
Abiye Membere,NNPC,0
Aminu Baba-Kusa,NNPC,0
Anthony Madichie,NNPC,0
Anthony Ogbuigwe,NNPC,0
Attahir B. Yusuf,NNPC,0
Awwalu Abubakar,NNPC,0
Ayodele Balogun,NNPC,0
David Ige,NNPC,0
Eddy Ejikam,NNPC,0
Levi Ajuonuma,NNPC,0
M.O Bajomo,NNPC,0
Abubakar Malami,Minister,0
Geoffrey Onyeama,Minister,0
Khadija Ibrahim,Minister,0
Mamman Ali,Minister,0
Adamu Adamu,Minister,0
Anthony Onwuka,Minister,0
Kemi Adeosun,Minister,0
Okechukwu Enelamah,Minister,0
Aisha Abubakar,Minister,0
Chris Ngige,Minister,0
James Ocholi,Minister,0
Mohammed Bello,Minister,0
Ogbonnaya Onu,Minister,0
Kayode Fayemi,Minister,0
Abubakar Bwari,Minister,0
Abdulrahman Dambazau,Minister,0
Udoma Udoma,Minister,0
Zainab Ahmad,Minister,0
Babatunde Fashola,Minister,0
Mustapha Baba Shehuri,Minister,0
Audu Ogbeh,Minister,0
Heineken Lokpobiri,Minister,0
Chibuike Amaechi,Minister,0
Hadi Serika,Minister,0
Isaac Adewole,Minister,0
Osagie Ehanire,Minister,0
Aisha Alhassan,Minister,0
Usani Uguru Usani,Minister,0
Claudius Daramola,Minister,0
Lai Mohammed,Minister,0
Amina Mohammed,Minister,0
Ibrahim Jubril,Minister,0
Suleiman Adamu,Minister,0
Solomon Dalong,Minister,0
